ClaimID,PolicyID,ClaimType,ClaimAmount,ClaimStatus,ClaimDate,AdjusterID
8cbecaf6-5fad-448e-9ef5-24e97ed02b5d,10673,Liability,231.35,Paid,2024-04-24,40
d36432ca-ea7a-4dac-b6ca-af2c94341063,10434,Theft,412.26,In Review,2024-03-31,43
ea49b47b-516a-40c0-8380-01f579aec853,10464,Liability,1322.35,Paid,2021-01-13,42
f4444676-317c-40dc-a507-d5797500170a,10391,Theft,382.5,Paid,2022-02-06,31
9c4f6b31-9fbd-403f-ae3d-d61f65a12547,10951,Medical,690.49,Paid,2023-07-30,7
c7c19b1c-19ea-4573-9a29-95467ced328d,10947,Medical,338.31,In Review,2024-02-06,29
82b70936-df06-47e9-94ce-4741123e6887,10124,Theft,231.7,Closed,2021-05-14,21
6a0ce0d3-19e7-4251-9c02-373347233ad1,10265,Liability,912.07,Paid,2025-02-20,9
8b8264cc-bfa9-4ad6-8566-394ce824cf37,10282,Fire,264.84,In Review,2025-01-18,38
7f8ab854-c7b4-4856-9de7-04f211708d31,10351,Liability,335.65,In Review,2025-02-07,25
b4b66730-e72b-47af-b816-c2edd4e8949e,10147,Liability,333.84,Denied,2024-06-05,30
1c00dbe3-cdde-49e8-88f3-1e03fad81f5f,10039,Liability,1592.31,In Review,2024-08-05,7
0d9881c7-bd87-4939-b1f5-59b38be9957f,10838,Theft,415.78,Closed,2025-05-22,42
33f70e20-2f46-4cb0-9bfe-5717889e36cc,10908,Liability,269.06,In Review,2021-01-25,14
ee7de0fc-dbe2-4c10-800d-c3da58368e30,10819,Medical,220.63,Paid,2021-11-18,15
0ad452fe-02de-4ee4-a312-cbb64a95f087,10059,Medical,195.81,Paid,2025-03-28,30
42c85aa0-f63e-4c1e-b3c9-e2f8404db792,10656,Medical,272.77,Paid,2025-05-23,7
b7ba5ce5-1a68-44da-84bf-99e9e895ff4d,10484,Fire,1541.62,Paid,2025-05-19,43
f1824213-d21a-46aa-9e3d-664fbc965b76,10473,Fire,85.98,Paid,2024-09-03,10
8b46d56d-dd59-4654-8b9b-bc132a653204,10095,Medical,1975.22,Paid,2022-12-20,6
798bf8b2-ea5c-4039-ba2c-3944208bc89e,10011,Theft,267.4,Paid,2022-08-07,48
03667342-0b39-4a8f-9cca-5ce16f40ddd7,10127,Fire,2485.94,Closed,2024-03-17,36
cb6630c3-4b2f-4fd0-be58-3df752260d8e,10747,Theft,439.14,Denied,2025-04-22,36
9f62701b-f784-4c7b-8436-b23b9f566e46,10111,Liability,267.29,Paid,2024-05-09,8
7b6fc30c-8fc5-440c-8398-8043b56cbb35,10378,Medical,157.73,Paid,2025-04-07,43
f29053e0-694d-46e5-989c-2152aa8cc84f,10445,Medical,2330.53,Closed,2022-05-20,47
41deec02-c309-4a75-8edf-1ba5375eb4cf,10874,Theft,647.9,Open,2022-06-29,39
01734929-ccba-41a1-93e1-9e3903b12104,10870,Fire,1348.09,Paid,2025-03-01,37
4f2f1ed1-f542-4d24-b68e-72e578db0a8f,10593,Liability,105.65,Paid,2024-02-27,43
b21cbb04-9985-46bf-8712-3152b4bf4300,10971,Medical,1783.15,Paid,2025-04-27,7
da43f95f-46d6-42ee-8673-1a1a468f4d72,10927,Fire,840.98,Closed,2024-03-14,24
592bcc1e-9955-4248-83e1-230387f0e877,10195,Theft,1134.08,Closed,2024-06-28,37
1c557e34-b237-4728-8af9-73be4f09eedc,10994,Accident,1242.52,Closed,2023-03-07,36
be52a12a-78eb-4b90-bd3a-2013c2f674af,10237,Liability,635.93,In Review,2024-10-28,42
697ce08b-2aa8-4e5c-9785-ccb9af5f93f8,10157,Liability,613.97,Paid,2025-04-27,43
6c5f4fd1-2c32-41b7-badc-46b51667bcb7,10927,Fire,721.2,Paid,2025-02-26,18
daf495c2-d7e2-4ca3-befc-c5832ffe60da,10415,Fire,1424.36,Open,2024-10-09,23
96a4ba3a-9e46-4dbd-ba3d-6365d166b09b,10626,Theft,393.13,Paid,2025-04-24,10
4470509c-167a-444a-afe3-86cfe578c6ca,10643,Liability,796.06,In Review,2025-02-07,5
61cf1a2b-a21e-4311-98f9-306c219f9343,10307,Accident,1354.27,In Review,2024-06-23,2
ca57fb2a-c880-4310-9fac-22d58b8236be,10045,Theft,314.36,In Review,2024-04-28,14
d32ecb13-fa15-4385-a816-5b18dad8ff59,10439,Medical,1148.68,Paid,2025-04-30,22
e6e484d5-85f0-4d9c-8b91-fd7b403a3fa8,10960,Accident,1571.42,Paid,2024-02-07,47
b3a10d58-62c7-4cf0-83b2-7bb4c9db23ab,10466,Fire,701.47,Closed,2025-05-22,37
d8609103-d279-4268-b8e3-c97589166911,10250,Liability,1203.08,Paid,2022-09-17,4
